regime,model,cleaning,pool,layer,year_transform,k,spearman_mean,spearman_std,r2_mean,r2_std,mae_mean,mae_std,mase_mean,mdape_mean,shuffled_spearman_mean,shuffled_r2_mean,n_valid_folds,n_total_folds,test,unit,headline_metric,headline_value,headline_std,n_valid_folds_or_draws,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,chance_accuracy,chance_macro_f1,shuffled_accuracy,shuffled_macro_f1,n_draws,k_used,isomap_spearman,isomap_pairwise_acc,isomap_neighbor_purity,isomap_neighbor_sigma,ebin_spearman,ebin_pairwise_acc,isomap_spearman_std,isomap_pairwise_acc_std,isomap_neighbor_purity_std,isomap_neighbor_sigma_std,pacc_full,pacc_loro_mean,drop,n_rulers,pacc_full_std,pacc_loro_mean_std,drop_std,condition,year_spearman_mean,year_spearman_std,year_mae_mean,year_mae_std,ruler_macro_f1_mean,ruler_macro_f1_std,variant,parse_errors,n_total,n_scoreable,extra,task,std,n_labeled,params_b,family,model_label,color,marker,model_order
prompt,qwen3_1b7,,mean,L00,,,,,,,,,,,,,,,T10_prompt_reprobe,ruler,macro_f1_mean,0.1466101714336803,0.0091419234732512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pv0,,,,accuracy=0.45999999999999996 chance=0.058823529411764705 weighted_f1=0.40071073511461075,ruler,0.0091419234732512,1150.0,1.7,qwen,Qwen3 1.7B,#8fcf6e,o,5
prompt,qwen3_1b7,,mean,L14,,,,,,,,,,,,,,,T10_prompt_reprobe,year,spearman_mean_year_raw,0.4508136802329908,0.1873374716909026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pv0,,,,k=5 r2=0.12634940989827603 mae=79.25474958572033,year,0.1873374716909026,40.0,1.7,qwen,Qwen3 1.7B,#8fcf6e,o,5
prompt,qwen3_1b7,,last,L00,,,,,,,,,,,,,,,T10_prompt_reprobe,ruler,macro_f1_mean,0.0222348432728986,0.0001649338343877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pv1,,,,accuracy=0.23304347826086955 chance=0.058823529411764705 weighted_f1=0.08809462088246175,ruler,0.0001649338343877,1150.0,1.7,qwen,Qwen3 1.7B,#8fcf6e,o,5
prompt,qwen3_8b,,mean,L00,,,,,,,,,,,,,,,T10_prompt_reprobe,ruler,macro_f1_mean,0.1452052071698102,0.0054278466489716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pv0,,,,accuracy=0.4582608695652174 chance=0.058823529411764705 weighted_f1=0.39887706629196884,ruler,0.0054278466489716,1150.0,8.0,qwen,Qwen3 8B,#4b8f3a,o,6
prompt,qwen3_8b,,last,L36,,,,,,,,,,,,,,,T10_prompt_reprobe,year,spearman_mean_year_raw,0.3694794543026689,0.1611782119314566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pv0,,,,k=3 r2=0.07965232189246658 mae=84.01845756576512,year,0.1611782119314566,40.0,8.0,qwen,Qwen3 8B,#4b8f3a,o,6
prompt,qwen3_32b,,mean,L00,,,,,,,,,,,,,,,T10_prompt_reprobe,ruler,macro_f1_mean,0.132783514713652,0.0031599658585455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pv0,,,,accuracy=0.43999999999999995 chance=0.058823529411764705 weighted_f1=0.37508687736393426,ruler,0.0031599658585455,1150.0,32.0,qwen,Qwen3 32B,#1f4d12,o,7
prompt,qwen3_32b,,mean,L48,,,,,,,,,,,,,,,T10_prompt_reprobe,year,spearman_mean_year_raw,0.4525745251675372,0.187716819107945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pv0,,,,k=3 r2=0.166970800947831 mae=78.14891772987086,year,0.187716819107945,40.0,32.0,qwen,Qwen3 32B,#1f4d12,o,7
prompt,qwen3_32b,,mean,L00,,,,,,,,,,,,,,,T10_prompt_reprobe,ruler,macro_f1_mean,0.132783514713652,0.0031599658585455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pv1,,,,accuracy=0.43999999999999995 chance=0.058823529411764705 weighted_f1=0.37508687736393426,ruler,0.0031599658585455,1150.0,32.0,qwen,Qwen3 32B,#1f4d12,o,7
prompt,qwen3_32b,,mean,L16,,,,,,,,,,,,,,,T10_prompt_reprobe,year,spearman_mean_year_raw,0.4456024059688064,0.240047311263671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pv1,,,,k=2 r2=0.15528407644160636 mae=79.72464784815223,year,0.240047311263671,40.0,32.0,qwen,Qwen3 32B,#1f4d12,o,7
prompt,qwen3_32b,,mean,L00,,,,,,,,,,,,,,,T10_prompt_reprobe,ruler,macro_f1_mean,0.132783514713652,0.0031599658585455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pv2,,,,accuracy=0.43999999999999995 chance=0.058823529411764705 weighted_f1=0.37508687736393426,ruler,0.0031599658585455,1150.0,32.0,qwen,Qwen3 32B,#1f4d12,o,7
prompt,qwen3_32b,,last,L63,,,,,,,,,,,,,,,T10_prompt_reprobe,year,spearman_mean_year_raw,0.4622131743703612,0.1651020448849363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pv2,,,,k=2 r2=0.08660852645967543 mae=78.79965723693356,year,0.1651020448849363,40.0,32.0,qwen,Qwen3 32B,#1f4d12,o,7
prompt,qwen3_32b,,mean,L00,,,,,,,,,,,,,,,T10_prompt_reprobe,ruler,macro_f1_mean,0.132783514713652,0.0031599658585455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pv3,,,,accuracy=0.43999999999999995 chance=0.058823529411764705 weighted_f1=0.37508687736393426,ruler,0.0031599658585455,1150.0,32.0,qwen,Qwen3 32B,#1f4d12,o,7
prompt,qwen3_32b,,mean,L16,,,,,,,,,,,,,,,T10_prompt_reprobe,year,spearman_mean_year_raw,0.4467671986102803,0.2400937730799183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pv3,,,,k=2 r2=0.1557208946773353 mae=79.6959664550421,year,0.2400937730799183,40.0,32.0,qwen,Qwen3 32B,#1f4d12,o,7
balanced,tfidf,tier0,na,L00,raw,,0.4069432059196305,0.0643634366725968,-0.1629814257864928,0.1880219097303882,42.167877266186835,1.7610356162500105,0.8609051038332382,6.063071032069997,0.0128423245826238,-0.2092765070793606,200.0,,T1_year_pls,year,spearman_mean,0.4069432059196305,0.0643634366725968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,surface,TF-IDF (char n-gram),#1f6fb4,D,1
balanced,mlm,tier0,mean,L01,raw,,0.4235565353326363,0.059444373862113,-0.901741111573751,0.3475129241722249,45.402375783902926,3.1314360581475924,0.9019403343557636,6.366800790872191,0.0100135594956348,-0.2528116698789869,200.0,,T1_year_pls,year,spearman_mean,0.4235565353326363,0.059444373862113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0367,akkadian,MLM 37M,#f4a259,s,2
balanced,thalesian_akk300m,tier0,mean,L06,raw,,0.3444617997167807,0.0616834226214175,-0.9074894769422612,0.3628220346495636,46.97840132162055,2.853885029803936,0.9346489195656718,6.738610198312647,0.0167727440196744,-0.2461829705701251,200.0,,T1_year_pls,year,spearman_mean,0.3444617997167807,0.0616834226214175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,akkadian,Thalesian 300M,#d8602a,s,3
balanced,thalesian_cunei400m,tier0,mean,L12,raw,,0.4111424440656039,0.0640148624977572,-0.4998980763530683,0.2263921950351274,41.01982907432819,2.8004148519086582,0.8132484540011891,5.747499088926684,0.0227714894588138,-0.3150727883377479,200.0,,T1_year_pls,year,spearman_mean,0.4111424440656039,0.0640148624977572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,akkadian,Thalesian 400M,#8b3a0e,s,4
